"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA"
"226","57","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","0.5","16","2","1","NA","1","0","1","0","0","0","0",8500,"162","NA","3"
"227","57","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","1","0","1","0","0","0","0",8500,"162","NA","3"
"228","57","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","1","0","1","0","0","0","0",8500,"162","NA","3"
"233","59",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","0.5","<=0.25","<=8","<=1","<=4","<=2",">16",">512","2","1","0","4","0","0","0","0","1","0",10000,"71","4","1"
"234","59","4","<=0.03","<=0.015","16","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","0","4","0","0","0","0","1","0",10000,"71","4","1"
"235","59",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4",">16",">512","2","1","0","4","0","0","0","0","1","0",10000,"71","4","1"
"236","59","2","<=0.03","<=0.015","<=2","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25","16","2","1","0","4","0","0","0","0","1","0",10000,"71","4","1"
"237","60",">32","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","1","1","NA","5","0","0","0","0","0","1",8500,"60","NA","3"
"238","60",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25",">512","1","1","NA","5","0","0","0","0","0","1",8500,"60","NA","3"
"239","60",">32","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25",">512","1","1","NA","5","0","0","0","0","0","1",8500,"60","NA","3"
"240","60",">32","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","0.5",">512","1","1","NA","5","0","0","0","0","0","1",8500,"60","NA","3"
